,,
"T (k)","h (kj/kg)","%CO2 ORSAT"
630,704.4,"10%"
640,716.4,"10%"
650,728.5,"10%"
660,740.7,"10%"
670,752.8,"10%"
680,765,"10%"
690,777.2,"10%"
700,789.4,"10%"
710,801.6,"10%"
720,813.9,"10%"
730,826.2,"10%"
740,838.5,"10%"
750,850.9,"10%"
760,863.2,"10%"
770,875.6,"10%"
780,888,"10%"
790,900.5,"10%"
800,912.9,"10%"
810,925.4,"10%"
820,937.9,"10%"
830,950.4,"10%"
840,963,"10%"
850,975.5,"10%"
860,988.1,"10%"
870,1000.7,"10%"
880,1013.4,"10%"
890,1026,"10%"
900,1038.7,"10%"
910,1051.4,"10%"
920,1064.1,"10%"
930,1076.8,"10%"
940,1089.5,"10%"
950,1102.3,"10%"
960,1115.1,"10%"
970,1127.9,"10%"
980,1140.7,"10%"
990,1153.5,"10%"
1000,1166.4,"10%"
1010,1179.2,"10%"
1020,1192.1,"10%"
1030,1205,"10%"
1040,1217.9,"10%"
1050,1230.9,"10%"
1060,1243.8,"10%"
1070,1256.8,"10%"
1080,1269.8,"10%"
1090,1282.7,"10%"
1100,1295.8,"10%"
1110,1308.8,"10%"
1120,1321.8,"10%"
1130,1334.9,"10%"
1140,1348,"10%"
1150,1361,"10%"
1160,1374.2,"10%"
1170,1387.3,"10%"
1180,1400.4,"10%"
1190,1413.5,"10%"
1200,1426.7,"10%"
1210,1439.9,"10%"
1220,1453,"10%"
1230,1466.2,"10%"
1240,1479.5,"10%"
1250,1492.7,"10%"
1260,1505.9,"10%"
1270,1519.2,"10%"
1280,1532.4,"10%"
1290,1545.7,"10%"
1300,1559,"10%"
1310,1572.3,"10%"
1320,1585.6,"10%"
1330,1598.9,"10%"
1340,1612.2,"10%"
1350,1625.6,"10%"
1360,1638.9,"10%"
1370,1652.3,"10%"
1380,1665.7,"10%"
1390,1679.1,"10%"
1400,1692.5,"10%"
1410,1705.9,"10%"
1420,1719.3,"10%"
1430,1732.8,"10%"
1440,1746.2,"10%"
1450,1759.6,"10%"
1460,1773.1,"10%"
1470,1786.6,"10%"
1480,1800.1,"10%"
1490,1813.6,"10%"
1500,1827.1,"10%"
1510,1840.6,"10%"
1520,1854.1,"10%"
1530,1867.7,"10%"
1540,1881.2,"10%"
1550,1894.7,"10%"
1560,1908.3,"10%"
1570,1921.9,"10%"
1580,1935.4,"10%"
1590,1949,"10%"
1600,1962.6,"10%"
1610,1976.2,"10%"
1620,1989.9,"10%"
1630,2003.5,"10%"
1640,2017.1,"10%"
1650,2030.8,"10%"
1660,2044.4,"10%"
1670,2058.1,"10%"
1680,2071.7,"10%"
1690,2085.4,"10%"
1700,2099.1,"10%"
1710,2112.8,"10%"
1720,2126.5,"10%"
1730,2140.2,"10%"
1740,2153.9,"10%"
1750,2167.6,"10%"
1760,2181.3,"10%"
1770,2195.1,"10%"
1780,2208.8,"10%"
1790,2222.5,"10%"
1800,2236.3,"10%"
1810,2250.1,"10%"
1820,2263.8,"10%"
1830,2277.6,"10%"
1840,2291.4,"10%"
1850,2305.2,"10%"
1860,2319,"10%"
1870,2332.8,"10%"
1880,2346.6,"10%"
1890,2360.4,"10%"
1900,2374.2,"10%"
1910,2388.1,"10%"
1920,2401.9,"10%"
1930,2315.8,"10%"
1940,2429.6,"10%"
1950,2443.5,"10%"
1960,2457.4,"10%"
1970,2471.2,"10%"
1980,2485.1,"10%"
1990,2499,"10%"
2000,2512.9,"10%"
,,
0,0,"14%"
10,10.5,"14%"
20,21.1,"14%"
30,31.7,"14%"
40,42.3,"14%"
50,52.9,"14%"
60,63.6,"14%"
70,74.2,"14%"
80,84.9,"14%"
90,95.7,"14%"
100,106.4,"14%"
110,117.2,"14%"
120,128,"14%"
130,138.8,"14%"
140,149.6,"14%"
150,160.5,"14%"
160,171.4,"14%"
170,182.3,"14%"
180,193.3,"14%"
190,204.2,"14%"
200,215.3,"14%"
210,226.3,"14%"
220,237.3,"14%"
230,248.4,"14%"
240,259.6,"14%"
250,270.7,"14%"
260,281.9,"14%"
270,293.1,"14%"
280,304.3,"14%"
290,315.6,"14%"
300,326.9,"14%"
310,338.2,"14%"
320,349.6,"14%"
330,361,"14%"
340,372.4,"14%"
350,383.9,"14%"
360,395.4,"14%"
370,406.9,"14%"
380,418.4,"14%"
390,430,"14%"
400,441.6,"14%"
410,453.3,"14%"
420,465,"14%"
430,476.7,"14%"
440,488.4,"14%"
450,500.2,"14%"
460,512,"14%"
470,523.8,"14%"
480,535.7,"14%"
490,547.6,"14%"
500,559.5,"14%"
510,571.5,"14%"
520,583.5,"14%"
530,595.5,"14%"
540,607.5,"14%"
550,619.6,"14%"
560,631.7,"14%"
570,643.8,"14%"
580,656,"14%"
590,668.2,"14%"
600,680.4,"14%"
610,692.7,"14%"
620,705,"14%"
630,717.3,"14%"
640,729.6,"14%"
650,742,"14%"
660,754.4,"14%"
670,766.8,"14%"
680,779.2,"14%"
690,791.7,"14%"
700,804.2,"14%"
710,816.7,"14%"
720,829.3,"14%"
730,841.9,"14%"
740,854.5,"14%"
750,867.1,"14%"
760,879.7,"14%"
770,892.4,"14%"
780,905.1,"14%"
790,917.8,"14%"
800,930.6,"14%"
810,943.4,"14%"
820,956.2,"14%"
830,969,"14%"
840,981.9,"14%"
850,994.7,"14%"
860,1007.6,"14%"
870,1020.5,"14%"
880,1033.5,"14%"
890,1046.4,"14%"
900,1059.4,"14%"
910,1072.4,"14%"
920,1085.4,"14%"
930,1098.4,"14%"
940,1111.5,"14%"
950,1124.6,"14%"
960,1137.7,"14%"
970,1150.8,"14%"
980,1163.9,"14%"
990,1177.1,"14%"
1000,1190.2,"14%"
1010,1203.4,"14%"
1020,1216.6,"14%"
1030,1229.9,"14%"
1040,1243.1,"14%"
1050,1256.4,"14%"
1060,1269.7,"14%"
1070,1283,"14%"
1080,1296.3,"14%"
1090,1309.6,"14%"
1100,1322.9,"14%"
1110,1336.3,"14%"
1120,1349.7,"14%"
1130,1363.1,"14%"
1140,1376.5,"14%"
1150,1389.9,"14%"
1160,1403.4,"14%"
1170,1416.8,"14%"
1180,1430.3,"14%"
1190,1443.8,"14%"
1200,1457.3,"14%"
1210,1470.8,"14%"
1220,1484.3,"14%"
1230,1497.9,"14%"
1240,1511.5,"14%"
1250,1525,"14%"
1260,1538.6,"14%"
1270,1552.2,"14%"
1280,1565.8,"14%"
1290,1579.5,"14%"
1300,1593.1,"14%"
1310,1606.8,"14%"
1320,1620.4,"14%"
1330,1634.1,"14%"
1340,1647.8,"14%"
1350,1661.5,"14%"
1360,1675.2,"14%"
1370,1689,"14%"
1380,1702.7,"14%"
1390,1716.5,"14%"
1400,1730.2,"14%"
1410,1744,"14%"
1420,1757.8,"14%"
1430,1771.6,"14%"
1440,1785.4,"14%"
1450,1799.2,"14%"
1460,1813.1,"14%"
1470,1826.9,"14%"
1480,1840.8,"14%"
1490,1854.7,"14%"
1500,1868.6,"14%"
1510,1882.4,"14%"
1520,1896.3,"14%"
1530,1910.3,"14%"
1540,1924.2,"14%"
1550,1938.1,"14%"
1560,1952,"14%"
1570,1966,"14%"
1580,1979.9,"14%"
1590,1993.9,"14%"
1600,2007.9,"14%"
1610,2021.9,"14%"
1620,2035.9,"14%"
1630,2049.9,"14%"
1640,2063.9,"14%"
1650,2077.9,"14%"
1660,2092,"14%"
1670,2106,"14%"
1680,2120,"14%"
1690,2134.1,"14%"
1700,2148.2,"14%"
1710,2162.3,"14%"
1720,2176.4,"14%"
1730,2190.5,"14%"
1740,2204.6,"14%"
1750,2218.7,"14%"
1760,2232.8,"14%"
1770,2246.9,"14%"
1780,2261,"14%"
1790,2275.1,"14%"
1800,2289.3,"14%"
1810,2303.5,"14%"
1820,2317.7,"14%"
1830,2331.8,"14%"
1840,2346,"14%"
1850,2360.2,"14%"
1860,2374.4,"14%"
1870,2388.6,"14%"
1880,2402.8,"14%"
1890,2417,"14%"
1900,2431.2,"14%"
1910,2445.5,"14%"
1920,2459.7,"14%"
1930,2474,"14%"
1940,2488.2,"14%"
1950,2502.5,"14%"
1960,2516.7,"14%"
1970,2531,"14%"
1980,2545.3,"14%"
1990,2559.6,"14%"
2000,2573.9,"14%"
